Player,Team,Link
"Taylor, Taywan",CLE,/player/taywantaylor/2557870/
"Taylor, Trent",SF,/player/trenttaylor/2558202/
"Thielen, Adam",MIN,/player/adamthielen/2541785/
"Thomas, De'Anthony",BAL,/player/de'anthonythomas/2543638/
"Thomas, Demaryius",NYJ,/player/demaryiusthomas/497328/
"Thomas, Michael",NO,/player/michaelthomas/2556370/
"Thomas, Mike",LA,/player/mikethomas/2556381/
"Thompson, Chris",SF,/player/christhompson/2559368/
"Thompson, Cody",SEA,/player/codythompson/2562759/
"Thompson, Trevion",TEN,/player/trevionthompson/2562982/
"Treadwell, Laquon",MIN,/player/laquontreadwell/2555214/
"Turner, Malik",SEA,/player/malikturner/2561671/
"Ursua, John",SEA,/player/johnursua/2562960/
"Valdes-Scantling, Marquez",GB,/player/marquezvaldes-scantling/2560907/
"Veasy, Jordan",WAS,/player/jordanveasy/2561414/
"Walker, Michael",JAX,/player/michaelwalker/2563297/
"Ward, Greg",PHI,/player/gregward/2559278/
"Washington, James",PIT,/player/jameswashington/2560920/
"Watkins, Sammy",KC,/player/sammywatkins/2543457/
"Watson, Justin",TB,/player/justinwatson/2560051/
"Weah, Jester",WAS,/player/jesterweah/2560922/
"Webster, Nsimba",LA,/player/nsimbawebster/2563316/
"Wesley, Alex",CHI,/player/alexwesley/2562778/
"Wesley, Antoine",BAL,/player/antoinewesley/2562779/
"Westbrook, Dede",JAX,/player/dedewestbrook/2557895/
"White, DeAndrew",CAR,/player/deandrewwhite/2552657/
"White, Reggie Jr.",NYG,/player/reggiewhitejr./2562952/
"White, Tim",NO,/player/timwhite/2559007/
"Whitney, Isaac",HOU,/player/isaacwhitney/2559008/
"Williams, Chad",IND,/player/chadwilliams/2558208/
"Williams, Duke",BUF,/player/dukewilliams/2556836/
"Williams, Mike",LAC,/player/mikewilliams/2558846/
"Williams, Preston",MIA,/player/prestonwilliams/2562805/
"Williams, Tyrell",LV,/player/tyrellwilliams/2553913/
"Willis, Damion",CIN,/player/damionwillis/2563238/
"Wilson, Albert",MIA,/player/albertwilson/2550272/
"Wilson, Ced",DAL,/player/cedwilson/2560936/
"Wims, Javon",CHI,/player/javonwims/2560939/
"Winfree, Juwann",DEN,/player/juwannwinfree/2562956/
"Woods, Robert",LA,/player/robertwoods/2540169/
"Wright, Jarius",CAR,/player/jariuswright/2532978/
"Wright, Terry",MIA,/player/terrywright/2563142/
"Zaccheaus, Olamide",ATL,/player/olamidezaccheaus/2562808/
"Zylstra, Brandon",CAR,/player/brandonzylstra/2560243/
